physical_page,dataset_id
21,pengjunkun/so100_push_to_hole
21,Deason11/Random_Kitchen
21,1g0rrr/reward_dataset_name2
21,1g0rrr/reward_dataset_name2_cropped_resized
21,1g0rrr/offline_dataset_name2
21,1g0rrr/offline_dataset_name2_cropped_resized
21,aractingi/push_cube_simp_cropped_resized
21,danielkr452/so100_work6
21,Loki0929/so100_100
21,yuz1wan/so100_fold_0227_1
21,yuz1wan/so100_fold_0227_2
21,speedyyoshi/so100_grasp_pink_block
21,lirislab/stack_two_red_cubes
21,lirislab/red_cube_into_mug
21,lirislab/green_lego_block_into_mug
21,lirislab/green_lego_block_into_mug_easy
21,kevin510/lerobot-cat-toy-placement
21,NONHUMAN-RESEARCH/SOARM100_TASK_VENDA_BOX
21,wangjl1512/pour_water
21,airthebear/so100_GL
21,zijian2022/noticehuman1
21,zijian2022/noticehuman2
21,kantine/so100_kapla_tower6
21,zijian2022/noticehuman5
21,zijian2022/llm40
21,Ashton3/lerobot-aloha
21,zijian2022/noticehuman50
21,AaronNewman/screwdriver_task_batch1
21,AaronNewman/screwdriver_task_batch2
21,AaronNewman/screwdriver_task_batch3
21,zijian2022/noticehuman60
21,zijian2022/noticehuman70
21,Bartm3/tape_to_bin
21,liuhuanjim013/so100_th_1
21,Pi-robot/barbecue_flip
21,Pi-robot/barbecue_put
21,wangjl1512/doll
21,sshh11/so100_orange_50ep_1
21,sshh11/so100_orange_50ep_2
21,DorayakiLin/so100_pick_cube_in_box
21,Bartm3/tape_to_bin2
21,luke250305/play_dice_250311.1
21,andy309/so100_0311_1152
21,sihyun77/suho_so100
21,sihyun77/si_so100
21,shreyasgite/so100_base_left
21,sihyun77/suho_red
21,liuhuanjim013/so100_block
21,andy309/so100_0313_no_wrist_camera
21,zijian2022/l9
21,zijian2022/n1_2
21,DorayakiLin/so100_stack_cube
21,andy309/so100_0313_no_wrist_camera_with_two_arms_cloths
21,joaoocruz00/so100_makeitD1
21,zijian2022/l10_1
21,zijian2022/l10_5
21,sihyun77/suho_red2
21,sihyun77/suho_angel
21,sihyun77/sihyun_king
21,acrampette/third_arm_01
21,Winster/so100_cube
21,1g0rrr/sam_openpi03
21,thedevansh/mar16_1336
21,hkphoooey/throw_stuffie
21,doujiangwang/task1_10epi_100000step
21,sihyun77/sihyun_3_17_1
21,acrampette/third_arm_02
21,imsyed00/so100_yellowbowl_pickplace_1
21,kumarhans/so100_tape_task
21,sihyun77/sihyun_main
21,doujiangwang/task2_10epi_100000step
21,kantine/industrial_robothon_buttons_expert
21,kantine/industrial_robothon_buttons_anomaly
21,kantine/industrial_robothon_hatchAndProbe_expert
21,kantine/industrial_robothon_hatchAndProbe_anomaly
21,Odog16/so100_tea_towel_folding_v1
22,zijian2022/so100_318
22,zijian2022/so100_318_1
22,Congying1112/so100_place_blue_bottle_with_two_cameras
22,Congying1112/so100_place_blue_bottle_with_two_cameras2
22,Congying1112/so100_place_blue_bottle_with_single_camera
22,pietroom/first_task_short
22,kantine/industrial_screws_sorting_expert
22,kantine/industrial_screws_sorting_anomaly
22,pietroom/second_task
22,zijian2022/c0
22,doujiangwang/task4_10epi_100000step
22,Congying1112/so100_switch_with_onhand_camera
22,HYAIYN/so100_get_orange_10epi
22,doujiangwang/task5_10epi_100000step
22,1g0rrr/sam_openpi_cube_low10
22,1g0rrr/sam_openpi_cube_top10
22,1g0rrr/sam_openpi_wire10
22,1g0rrr/sam_openpi_solder1
22,1g0rrr/sam_openpi_solder2
22,wcode/so100_put_pen_50
22,jchun/so100_pickplace_small_20250322_193929
22,bnarin/so100_tic_tac_toe_we_do_it_live
22,dc2ac/so100-t5
22,chmadran/so100_home_dataset
22,baladhurgesh97/so100_final_picking_3
22,bnarin/so100_tic_tac_toe_move_0_0
22,bnarin/so100_tic_tac_toe_move_1_0
22,bnarin/so100_tic_tac_toe_move_2_1
22,bnarin/so100_tic_tac_toe_move_4_0
22,zaringleb/so100_cube_6_2d
22,andlyu/so100_indoor_0
22,andlyu/so100_indoor_2
22,Winster/so100_sim
22,badwolf256/so100_twin_cam_duck
22,Congying1112/so100_simplepick_with_2_cameras_from_top
22,andlyu/so100_indoor_4
22,Zak-Y/so100_grap_dataset
22,kantine/domotic_pouringCoffee_expert
22,kantine/domotic_pouringCoffee_anomaly
22,lucasngoo/so100_strawberry_grape
22,kantine/domotic_makingCoffee_expert
22,kantine/domotic_makingCoffee_anomaly
22,ZGGZZG/so100_drop1
22,kantine/industrial_soldering_expert
22,kantine/industrial_soldering_anomaly
22,Yotofu/so100_sweeper_shoes
22,kantine/domotic_dishTidyUp_expert
22,kantine/domotic_dishTidyUp_anomaly
22,kantine/domotic_groceriesSorting_expert
22,kantine/domotic_groceriesSorting_anomaly
22,badwolf256/so100_twin_cam_duck_v2
22,kantine/domotic_vegetagblesAndFruitsSorting_expert
22,kantine/domotic_vegetagblesAndFruitsSorting_anomaly
22,kantine/domotic_setTheTable_expert
22,kantine/domotic_setTheTable_anomaly
22,therarelab/so100_pick_place
22,abhisb/so100_51_ep
22,andlyu/so100_indoor_val_0
22,lizi178119985/so100_jia
22,badwolf256/so100_twin_cam_duck_v3
22,andrewcole712/so100_tape_bin_place
22,Gano007/so100_lolo
22,Zak-Y/so100_three_cameras_dataset
22,Gano007/so100_doliprane
22,XXRRSSRR/so100_v3_num_episodes_50
22,zijian2022/assemblyarm2
22,ganker5/so100_action_20250403
22,andlyu/so100_indoor_val2
22,Gano007/so100_gano
22,paszea/so100_whale_grab
22,paszea/so100_whale
22,Clementppr/lerobot_pick_and_place_dataset_world_model
22,andlyu/so100_indoor_10
22,RasmusP/so100_dataset50ep_a
22,RasmusP/so100_dataset50ep
22,Gano007/so100_second
22,zaringleb/so100_cude_linear_and_2d_comb
22,dsfsg/grasp_pens
22,zijian2022/digitalfix
22,zijian2022/digitalfix2
22,zijian2022/digitalfix3
22,T1g3rGE/so100_pickplace_small_20250407_171912
22,sihyun77/mond_13
22,abokinala/sputnik_100_11_pick_place_container
22,dsfsg/bring_bottle
22,abokinala/sputnik_100_12_pick_place_container
22,Mwuqiu/so100_0408
22,AK51/4090_01
22,356c/so100_rope_reposition_1
22,paszea/so100_lego_mix
22,abokinala/sputnik_100_14_pick_place_container
22,abokinala/sputnik_100_23_pick_place_surface
22,jiajun001/eraser00_2
22,jlesein/TestBoulon2
22,duthvik/sputnik_100_31_pour_liquid
22,duthvik/sputnik_100_24_pick_place_surface
22,duthvik/sputnik_100_25_pick_place_surface
22,duthvik/sputnik_100_17_pick_place_container
22,duthvik/sputnik_100_26_pick_place_surface
22,VoicAndrei/so100_banana_to_plate_rebel_full
22,isadev/bougies1
22,danaaubakirova/so100_task_1
22,danaaubakirova/so100_task_2
22,danaaubakirova/so100_task_3
22,danaaubakirova/so100_task_4
22,sixpigs1/so100_pick_cube_in_box_error
22,sixpigs1/so100_push_cube_error
22,sixpigs1/so100_pull_cube_error
22,isadev/bougies2
22,therarelab/med_dis_rare_6
22,duthvik/sputnik_100_27_pick_place_surface
22,zijian2022/closer3
22,duthvik/sputnik_100_41_custom_tasks
22,duthvik/sputnik_100_42_custom_tasks
22,duthvik/sputnik_100_43_custom_tasks
22,duthvik/sputnik_100_44_custom_tasks
22,duthvik/sputnik_100_51_kitchen_tasks
22,duthvik/sputnik_100_52_kitchen_tasks
22,duthvik/sputnik_100_53_kitchen_tasks
22,duthvik/sputnik_100_45_custom_tasks
22,duthvik/sputnik_100_32_pour_liquid
22,duthvik/sputnik_100_29_pick_place_surface
22,duthvik/sputnik_100_18_pick_place_container
22,sixpigs1/so100_pull_cube_by_tool_error
22,sixpigs1/so100_insert_cylinder_error
22,abokinala/sputnik_100_54_kitchen_tasks
22,abokinala/sputnik_100_55_kitchen_tasks
22,m1b/so100_bluelego
22,abokinala/sputnik_100_46_custom_tasks
22,m1b/so100_bluelego_updt
22,kantine/flip_A0
22,kantine/flip_A1
23,kantine/flip_A2
23,kantine/flip_A3
23,lirislab/guess_who_no_cond
23,kantine/flip_A4
23,kantine/flip_A5
23,lirislab/guess_who_lighting
23,nguyen-v/so100_press_red_button
23,nguyen-v/so100_bimanual_grab_lemon_put_in_box2
23,pierfabre/cow
23,nguyen-v/press_red_button_new
23,nguyen-v/so100_rotate_red_button
23,Cidoyi/so100_all_notes
23,roboticshack/team10-red-block
23,Cidoyi/so100_all_notes_1
23,roboticshack/team_5-QuiEstCe_everyBox
23,roboticshack/team11_pianobot
23,roboticshack/team2-guess_who_so100
23,roboticshack/team2-guess_who_so100_light
23,roboticshack/team2-guess_who_so100_edge_case
23,roboticshack/team2-guess_who_less_ligth
23,Cidoyi/so100_all_notes_3
23,dsfsg/grasp_pen_and_bottle
23,abokinala/sputnik_100_60_kitchen_tasks
23,abokinala/sputnik_100_58_kitchen_tasks
23,danaaubakirova/so100_v2_task_1
23,danaaubakirova/so100_v2_task_2
23,danaaubakirova/so100_v2_task_3
23,danaaubakirova/so100_v2_task_4
23,zijian2022/force1
23,zijian2022/force2
23,zijian2022/force3
23,jiajun001/eraser00_3
23,zijian2022/bi2
23,zijian2022/bi1
23,zijian2022/hand1
23,Setchii/so100_grab_ball
23,MossProphet/so100_square-1-2-3.2
23,pierfabre/rabbit
23,bensprenger/right_arm_p_brick_in_box_with_y_noise_v0
23,pierfabre/horse
23,pierfabre/pig2
23,pierfabre/pig3
23,pierfabre/cow2
23,pierfabre/sheep
23,Chojins/chess_game_009_white
23,sihyun77/suho_3_17_1
23,sihyun77/sihyun_3_17_2
23,sihyun77/suho_3_17_3
23,sihyun77/sihyun_3_17_5
23,Odog16/so100_cube_drop_pick_v1
23,sihyun77/sihyun_main_2
23,sihyun77/suho_main_2
23,Bartm3/dice2
23,sihyun77/sihyun_main_3
23,Loki0929/so100_duck
23,pietroom/holdthis
23,pietroom/actualeasytask
23,Beegbrain/pick_lemon_and_drop_in_bowl
23,Beegbrain/sweep_tissue_cube
23,zijian2022/321
23,gxy1111/so100_pick_place
23,Odog16/so100_cube_stacking_v1
23,sihyun77/mond_1
23,andlyu/so100_indoor_1
23,andlyu/so100_indoor_3
23,frk2/so100large
23,lirislab/sweep_tissue_cube
23,lirislab/lemon_into_bowl
23,lirislab/red_cube_into_green_lego_block
23,lirislab/red_cube_into_blue_cube
23,00ri/so100_battery
23,frk2/so100largediffcam
23,FsqZ/so100_1
23,ZGGZZG/so100_drop0
23,Chojins/chess_game_000_white_red
23,smanni/train_so100_fluffy_box
23,ganker5/so100_push_20250328
23,ganker5/so100_dataline_0328
23,ganker5/so100_color_0328
23,CrazyYhang/A1234-B-C_mvA2B
23,RasmusP/so100_Orange2Green
23,sixpigs1/so100_pick_cube_in_box
23,ganker5/so100_push_20250331
23,ganker5/so100_dataline_20250331
23,lirislab/put_caps_into_teabox
23,lirislab/close_top_drawer_teabox
23,lirislab/open_top_drawer_teabox
23,lirislab/unfold_bottom_right
23,lirislab/push_cup_target
23,lirislab/put_banana_bowl
23,Chojins/chess_game_001_blue_stereo
23,Chojins/chess_game_001_red_stereo
23,ganker5/so100_toy_20250402
23,Gano007/so100_medic
23,00ri/so100_battery_bin_center
23,paszea/so100_whale_2
23,lirislab/fold_bottom_right
23,lirislab/put_coffee_cap_teabox
23,therarelab/so100_pick_place_2
23,paszea/so100_whale_3
23,paszea/so100_whale_4
23,paszea/so100_lego
23,LemonadeDai/so100_coca
23,zijian2022/backgrounda
23,zijian2022/backgroundb
23,356c/so100_nut_sort_1
23,Mwuqiu/so100_0408_muti
23,aimihat/so100_tape
23,lirislab/so100_demo
23,356c/so100_duck_reposition_1
23,zijian2022/sort1
23,weiye11/so100_410_zwy
23,VoicAndrei/so100_banana_to_plate_only
23,sixpigs1/so100_stack_cube_error
23,isadev/bougies3
23,zijian2022/close3
23,bensprenger/left_arm_yellow_brick_in_box_v0
23,lirislab/guess_who_so100
23,bensprenger/left_arm_yellow_brick_in_box_with_purple_noise_v0
23,roboticshack/team16-can-stacking
23,zijian2022/insert2
23,roboticshack/team-7-right-arm-grasp-tape
23,Jiangeng/so100_413
23,roboticshack/team9-pick_cube_place_static_plate
23,AndrejOrsula/lerobot_double_ball_stacking_random
23,roboticshack/left-arm-grasp-lego-brick
23,roboticshack/team-7-left-arm-grasp-motor
23,roboticshack/team9-pick_chicken_place_plate
23,roboticshack/team13-two-balls-stacking
23,tkc79/so100_lego_box_1
23,roboticshack/team13-three-balls-stacking
23,pierfabre/chicken
23,roboticshack/team16-water-pouring
23,ad330/cubePlace
23,Jiafei1224/so100_pa222per
23,paszea/so100_lego_2cam
23,bensprenger/chess_game_001_blue_stereo
23,Mohamedal/put_banana
23,tkc79/so100_lego_box_2
23,samanthalhy/so100_herding_1
23,jlesein/TestBoulon7
23,pranavsaroha/so100_onelego2
23,pranavsaroha/so100_onelego3
23,pranavsaroha/so100_carrot_2
23,vladfatu/so100_above
23,koenvanwijk/orange50-1
23,CSCSXX/pick_place_cube_1.18
23,dragon-95/so100_sorting
23,dragon-95/so100_sorting_1
23,nbaron99/so100_pick_and_place4
24,Beegbrain/pick_place_green_block
24,dragon-95/so100_sorting_3
24,HITHY/so100_peach3
24,shreyasgite/so100_legocube_50
24,triton7777/so100_dataset_mix
24,NONHUMAN-RESEARCH/SOARM100_TASK_VENDA
24,mikechambers/block_cup_14
24,samsam0510/tooth_extraction_3
24,samsam0510/tooth_extraction_4
24,samsam0510/cube_reorientation_2
24,samsam0510/cube_reorientation_4
24,samsam0510/glove_reorientation_1
24,vladfatu/so100_office
24,pranavsaroha/so100_legos4
24,Ityl/so100_recording2
24,FeiYjf/new_GtoR
24,dragon-95/so100_sorting_2
24,HITHY/so100_peach4
24,jpata/so100_pick_place_tangerine
24,HITHY/so100_strawberry
24,shreyasgite/so100_base_env
24,koenvanwijk/orange50-variation-2
24,pranavsaroha/so100_carrot_5
24,pandaRQ/pick_med_1
24,aractingi/push_cube_offline_data
24,DorayakiLin/so100_pick_charger_on_tissue
24,zijian2022/noticehuman3
24,liuhuanjim013/so100_th
